,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,StandardComponentId,PlanId,BenefitName,CopayInnTier1,CopayInnTier2,CopayOutofNet,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,IsEHB,IsStateMandate,IsCovered,QuantLimitOnSvc,LimitQty,LimitUnit,MinimumStay,Exclusions,Explanation,EHBVarReason,IsExclFromInnMOOP,IsExclFromOonMOOP,RowNumber,IsSubjToDedTier1,IsSubjToDedTier2
86805,86805,2016,FL,27357,HIOS,4,2015-10-20 04:38:50,27357,FL,27357FL1830011,27357FL1830011-06,Allergy Testing,Not Applicable,,Not Applicable,0% Coinsurance after deductible,,50% Coinsurance after deductible,,,Covered,No,,,,,,Additional EHB Benefit,No,No,120,,
1807934,3681,2014,AK,73836,HIOS,6,2014-04-18 11:49:29,73836,AK,73836AK0650003,73836AK0650003-03,Routine Eye Exam for Children,No Charge,,No Charge,35%,,50%,Yes,,Covered,Yes,1.0,Visit(s) per Year,,,,,No,No,102,Yes,Yes
4288,4288,2016,AK,73836,HIOS,4,2015-08-23 12:37:12,73836,AK,73836AK0790001,73836AK0790001-01,Diabetes Education,Not Applicable,,Not Applicable,0% Coinsurance after deductible,,0% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,123,,
2162380,358127,2014,NC,56346,HIOS,6,2013-10-15 07:27:56,56346,NC,56346NC0030036,56346NC0030036-05,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
5034400,2065278,2015,OR,99389,SERFF,7,12/10/2014 23:15,99389,OR,99389OR0570001,99389OR0570001-03,Clinical Trials,No Charge,,No Charge,30% Coinsurance after deductible,,50% Coinsurance after deductible,,Yes,Covered,,,,,,,,No,No,129,Yes,No
2826662,1022409,2014,OH,41047,SERFF,2,2013-09-02 14:52:56,41047,OH,41047OH0030005,41047OH0030005-05,Abortion for Which Public Funding is Prohibited,,,,,,,,,Not Covered,,,,,,,,,,116,,
3462585,493463,2015,IN,54192,HIOS,9,11/15/2014 4:52,54192,IN,54192IN0010005,54192IN0010005-01,Basic Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,110,,
12267,12267,2016,AL,46944,HIOS,5,2015-10-21 05:00:18,46944,AL,46944AL0340001,46944AL0340001-01,Skilled Nursing Facility,,,,,,,,,Not Covered,,,,,,,,,,81,,
131816,131816,2016,FL,30252,HIOS,8,2015-09-02 08:31:46,30252,FL,30252FL0070007,30252FL0070007-03,Bariatric Surgery,,,,,,,,,Not Covered,,,,,,,,,,79,,
3285735,316613,2015,FL,86382,HIOS,6,2/19/2015 6:21,86382,FL,86382FL0030009,86382FL0030009-02,Orthodontia - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,111,,
4865559,1896437,2015,SD,31195,SERFF,5,1/23/2015 12:43,31195,SD,31195SD0090006,31195SD0090006-00,Long-Term/Custodial Nursing Home Care,,,,,,,,,Not Covered,,,,,,,,No,No,70,Yes,Yes
3349523,380401,2015,NC,11512,HIOS,9,1/16/2015 17:32,11512,NC,11512NC0110023,11512NC0110023-01,Transplant,No Charge,No Charge,No Charge,20% Coinsurance after deductible,40% Coinsurance after deductible,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,117,Yes,Yes
4055873,1086751,2015,WI,38166,HIOS,6,11/11/2014 4:41,38166,WI,38166WI0180005,38166WI0180005-01,Reconstructive Surgery,No Charge after deductible,,$0,No Charge after deductible,,100%,,Yes,Covered,No,,,,Cosmetic procedures are excluded from coverage.,,,No,No,128,Yes,Yes
2816901,1012648,2014,OH,29276,SERFF,8,2014-07-28 14:39:22,29276,OH,29276OH0740006,29276OH0740006-03,Outpatient Surgery Physician/Surgical Services,No Charge,No Charge,No Charge,20% Coinsurance after deductible,20% Coinsurance after deductible,50% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,65,Yes,Yes
2702392,898139,2014,ME,48396,SERFF,11,2014-06-23 15:22:56,48396,ME,48396ME0720009,48396ME0720009-01,Radiation,No Charge,,No Charge,5% Coinsurance after deductible,,25% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,122,Yes,No
4790825,1821703,2015,OH,14650,SERFF,10,11/15/2014 10:06,14650,OH,14650OH0230007,14650OH0230007-06,Specified Non-Routine Dental Services,No Charge,,No Charge,0% Coinsurance after deductible,,0% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,135,Yes,No
3666838,697716,2015,PA,19068,HIOS,4,11/9/2014 4:38,19068,PA,19068PA0200007,19068PA0200007-02,Generic Drugs,No Charge,,No Charge,No Charge,,No Charge,Yes,,Covered,,,,,,,,No,No,88,Yes,No
736560,736560,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0460335,33602TX0460335-04,Brain Injury,Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,Yes,Covered,,,,,,,,No,No,135,,
2434130,629877,2014,WI,79475,HIOS,10,2013-11-23 14:44:18,79475,WI,79475WI0340010,79475WI0340010-02,Basic Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,110,,
1312203,1312203,2016,IL,96601,SERFF,5,2015-08-27 03:52:03,96601,IL,96601IL0190004,96601IL0190004-03,Dental Anesthesia,No Charge after deductible,,No Charge after deductible,No Charge after deductible,,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,130,,
1102909,1102909,2016,TX,33602,OPM,6,2015-11-21 06:31:07,33602,TX,33602TX0780005,33602TX0780005-01,Allergy Testing,Not Applicable,Not Applicable,Not Applicable,20% Coinsurance after deductible,Not Applicable,50% Coinsurance after deductible,Yes,,Covered,,,,,,,Additional EHB Benefit,No,No,120,,
2423235,618982,2014,WI,57845,HIOS,3,2013-09-02 11:39:25,57845,WI,57845WI0010008,57845WI0010008-02,Preferred Brand Drugs,$0,,No Charge,0%,,100%,Yes,,Covered,,,,,,,,No,No,89,Yes,No
4336195,1367073,2015,IL,20129,SERFF,9,7/24/2015 22:33,20129,IL,20129IL0330015,20129IL0330015-05,Outpatient Rehabilitation Services,$0,,$0,10% Coinsurance after deductible,,100%,Yes,,Covered,Yes,60.0,Visit(s) per Year,,,Combined PT/OT/ST all consided outpatient rehabilition 60 visits per condition per year,Substantially Equal,No,No,92,Yes,No
812172,812172,2016,TX,37755,HIOS,6,2015-10-21 05:00:18,37755,TX,37755TX0020001,37755TX0020001-00,Routine Eye Exam for Children,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,Yes,1.0,Exam(s) per Year,,,,Substantially Equal,No,No,102,,
4306004,1336882,2015,IL,16724,SERFF,5,2/22/2015 21:18,16724,IL,16724IL0010008,16724IL0010008-05,"Outpatient Facility Fee (e.g.,  Ambulatory Surgery Center)",No Charge,,No Charge,No Charge after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,64,Yes,Yes
3468871,499749,2015,NC,54332,HIOS,9,12/11/2014 4:09,54332,NC,54332NC0030009,54332NC0030009-03,Outpatient Rehabilitation Services - Pulmonary rehabilitation therapy,No Charge,,No Charge,40% Coinsurance after deductible,,100%,,,Covered,No,,,,,,Additional EHB Benefit,No,No,136,Yes,Yes
48563,48563,2016,AZ,78611,HIOS,7,2015-08-26 09:56:12,78611,AZ,78611AZ0060003,78611AZ0060003-03,Non-Emergency Care When Traveling Outside the U.S.,,,,,,,,,Not Covered,,,,,,,,,,67,,
3769252,800130,2015,PA,53789,HIOS,12,6/19/2015 13:25,53789,PA,53789PA0110005,53789PA0110005-05,Basic Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,113,,
2686330,882077,2014,KS,61779,SERFF,3,2013-09-16 08:58:26,61779,KS,61779KS0060001,61779KS0060001-01,Basic Dental Care - Child,No Charge,,No Charge,30% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,110,Yes,Yes
3979454,1010332,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0470048,33602TX0470048-00,Transplant Donor Coverage,No Charge,,No Charge,No Charge after deductible,,100%,,,Covered,,,,,,,Other Law/Regulation,No,No,138,Yes,Yes
4537402,1568280,2015,KS,18558,SERFF,3,9/5/2014 6:40,18558,KS,18558KS0370002,18558KS0370002-01,Prosthetic Devices,No Charge after deductible,,No Charge after deductible,30% Coinsurance after deductible,,60% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,124,Yes,Yes
38242,38242,2016,AZ,70239,HIOS,7,2015-11-18 07:25:09,70239,AZ,70239AZ0010048,70239AZ0010048-02,Major Dental Care - Child,,,,,,,,,,,,,,,,,,,112,,
4589586,1620464,2015,MI,29698,SERFF,11,5/22/2015 14:18,29698,MI,29698MI0560011,29698MI0560011-01,"Imaging (CT/PET Scans, MRIs)",No Charge after deductible,,No Charge after deductible,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,Yes,Covered,No,,,,,,,No,No,97,Yes,No
2785637,981384,2014,NM,75605,SERFF,9,2013-11-27 09:24:34,75605,NM,75605NM0370003,75605NM0370003-05,Habilitation Services,No Charge,,No Charge,0% Coinsurance after deductible,,100%,,Yes,Covered,,,,,,,,No,No,93,Yes,Yes
4471422,1502300,2015,AR,75293,SERFF,12,7/22/2015 12:46,75293,AR,75293AR0280001,75293AR0280001-01,Chemotherapy,No Charge,,No Charge,30% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,121,Yes,Yes
4002386,1033264,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0470420,33602TX0470420-01,Transplant Donor Coverage,No Charge,,No Charge,30% Coinsurance after deductible,,100%,,,Covered,,,,,,,Other Law/Regulation,No,No,138,Yes,Yes
835706,835706,2016,TX,63509,HIOS,10,2015-08-27 11:14:25,63509,TX,63509TX0160002,63509TX0160002-01,Pediatric Services Other,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,136,,
4067376,1098254,2015,WI,39924,HIOS,9,12/11/2014 4:09,39924,WI,39924WI0030003,39924WI0030003-02,Durable Medical Equipment,$0,,$0,0%,,0%,Yes,,Covered,Yes,1.0,Item(s) per 3 Years,,"Prescribed or non-prescribed medical supplies and disposable supplies. Examples include: Compression stockings, Ace bandages, Gauze and dressings, Urinary catheters, Tubings and masks unless necessary for the effective use of covered DME -Devices used specifically as safety items or to affect performance in sports-related activities. -Blood pressure cuff/monitor, Enuresis alarm, Non-wearable external defibrillator, Trusses, Ultrasonic nebulizers. -Devices and computers to assist in communication and speech except for speech aid devices and tracheo-esophageal voice devices covered under DME. -Oral appliances for snoring. - Any device, appliance, pump, machine, stimulator, or monitor that is fully implanted into the body. -Repairs/Replacement due to misuse, malicious damage or gross neglect or to replace lost or stolen items","1 Item(s) per 3 years Examples of Durable Medical Equipment include: -Equipment to assist mobility, such as a standard wheelchair. -A standard Hospital-type bed. -Oxygen and the rental of equipment to administer oxygen (including tubing, connectors and masks). -Delivery pumps for tube feedings (including tubing and connectors). -Braces, including necessary adjustments to shoes to accommodate braces. Braces that stabilize an injured body part and braces to treat curvature of the spine are considered Durable Medical Equipment and are a Covered Health Service. Braces that straighten or change the shape of a body part are orthotic devices, and are excluded from coverage. Dental braces are also excluded from coverage. -Mechanical equipment necessary for the treatment of chronic or acute respiratory failure (except that air-conditioners, humidifiers, dehumidifiers, air purifiers and filters, and personal comfort items are excluded from coverage). -Burn garments. -Insulin pumps and all related necessary supplies as described under Diabetes Services.  -External cochlear devices and systems. Benefits for cochlear implantation are provided under the applicable medical/surgical Benefit categories in this Certificate",Substantially Equal,No,No,95,Yes,Yes
814064,814064,2016,TX,37755,HIOS,6,2015-10-21 05:00:18,37755,TX,37755TX0030003,37755TX0030003-02,Major Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,115,,
3931755,962633,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0460062,33602TX0460062-01,"Imaging (CT/PET Scans, MRIs)",$250,,No Charge,No Charge,,100%,Yes,,Covered,,,,,,CT for heart disease screening maximum 1 visit for EDT per every 5 years.,Substantially Equal,No,No,97,No,No
19154,19154,2016,AZ,23307,HIOS,9,2015-08-26 09:56:12,23307,AZ,23307AZ0400005,23307AZ0400005-01,Substance Abuse Disorder Inpatient Services,Not Applicable,Not Applicable,Not Applicable,20% Coinsurance after deductible,Not Applicable,100%,Yes,,Covered,No,,,,,,,No,No,87,,
1853151,48898,2014,AZ,70239,HIOS,10,2014-01-17 09:36:20,70239,AZ,70239AZ0010017,70239AZ0010017-03,Bariatric Surgery,$100 Copay after deductible,,$100 Copay after deductible,No Charge,,No Charge,Yes,,Covered,,,,,,,,No,No,79,Yes,Yes
2382105,577852,2014,WI,37833,HIOS,6,2013-11-23 14:44:18,37833,WI,37833WI0370032,37833WI0370032-05,Non-Preferred Brand Drugs,$60,,$60,No Charge,,No Charge,Yes,,Covered,,,,,,"Preventive medications, as defined by the Affordable Care Act, including contraceptives, are covered at $0 copay",Other Law/Regulation,No,Yes,90,No,No
2328345,524092,2014,TX,32673,HIOS,6,2013-08-30 07:44:10,32673,TX,32673TX0630001,32673TX0630001-00,Rehabilitative Speech Therapy,No Charge,,$0,No Charge after deductible,,100%,,,Covered,No,,,,,"35 visit per cal yr. limit combined with spinal manipulations, adjustments and modalities, Physical,  Occupational, Cognitive, Audiology, Cardiac and Respiratory Therapy. Outpatient Rehabilitation Services and Habilitation Services visit limits are combined.",Additional EHB Benefit,No,No,105,Yes,Yes
2142526,338273,2014,NC,11512,HIOS,9,2014-01-29 08:00:05,11512,NC,11512NC0040010,11512NC0040010-00,Rehabilitative Speech Therapy,No Charge,,No Charge,40% Coinsurance after deductible,,70% Coinsurance after deductible,Yes,,Covered,Yes,30.0,Visit(s) per Year,,,,,No,No,105,No,No
1866551,62298,2014,AZ,88925,HIOS,5,2014-01-17 09:36:20,88925,AZ,88925AZ0010014,88925AZ0010014-01,Preferred Brand Drugs,No Charge,,$0,20%,,100%,Yes,,Covered,,,,,,(ST/PA/QL) may apply; see formulary,Substantially Equal,No,Yes,89,Yes,Yes
2528714,724461,2014,WV,31274,OPM,5,2014-03-21 10:00:27,31274,WV,31274WV0310001,31274WV0310001-03,Private-Duty Nursing,No Charge,,No Charge,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,Yes,35.0,Visit(s) per Benefit Period,,,,Additional EHB Benefit,No,No,71,Yes,Yes
2409451,605198,2014,WI,47342,HIOS,11,2014-07-25 16:54:18,47342,WI,47342WI0050014,47342WI0050014-02,Allergy Testing,No Charge after deductible,,$0,0% Coinsurance after deductible,,100%,,,Covered,,,,,,,Above EHB,No,No,120,Yes,No
17779,17779,2016,AZ,23307,HIOS,9,2015-08-26 09:56:12,23307,AZ,23307AZ0400001,23307AZ0400001-00,Chemotherapy,Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,Yes,Covered,No,,,,,,,No,No,121,,
389794,389794,2016,NC,54332,HIOS,6,2015-08-27 11:14:25,54332,NC,54332NC0030004,54332NC0030004-04,Non-Emergency Care When Traveling Outside the U.S.,,,,,,,,,Not Covered,,,,,,,Above EHB,,,67,,
13094,13094,2016,AL,46944,HIOS,5,2015-10-21 05:00:18,46944,AL,46944AL0410001,46944AL0410001-04,Nutritional Counseling,No Charge,No Charge,Not Applicable,No Charge,No Charge,100%,,,Covered,Yes,3.0,Visit(s) per Year,,,For adults age 19 and over who are high risk for chronic diseases,Additional EHB Benefit,No,No,127,,
812542,812542,2016,TX,37755,HIOS,6,2015-10-21 05:00:18,37755,TX,37755TX0020003,37755TX0020003-00,Dialysis,Not Applicable,,Not Applicable,0% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,No,,,,,,Substantially Equal,No,No,119,,
2709350,905097,2014,MI,29241,SERFF,7,2014-03-18 09:48:59,29241,MI,29241MI0270066,29241MI0270066-00,"Other Practitioner Office Visit (Nurse, Physician Assistant)",No Charge after deductible,,No Charge after deductible,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,63,Yes,Yes
3937657,968535,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0460072,33602TX0460072-00,Cosmetic Surgery,No Charge,,No Charge,No Charge after deductible,,100%,Yes,,Covered,,,,,,"Only for the correction of congenital deformities or for  conditions resulting from accidental injuries, scars, tumors or diseases.  When Medically Necessary.",Substantially Equal,No,No,80,Yes,Yes
2663522,859269,2014,IL,79763,SERFF,7,2014-01-22 11:51:12,79763,IL,79763IL0070002,79763IL0070002-05,Preferred Brand Drugs,$20,$20,No Charge,No Charge,No Charge,50% Coinsurance after deductible,Yes,,Covered,,,,,"Prior Authorization, step therapy, maximum day supply and/or quantity limits may apply.",Prescription tobacco cessation drugs are covered. Self-injectables are covered.,Substantially Equal,No,No,89,No,Yes
2277715,473462,2014,PA,82795,HIOS,8,2013-11-26 13:14:08,82795,PA,82795PA0080002,82795PA0080002-03,Major Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,115,,
1143452,1143452,2016,AR,75293,SERFF,5,2015-08-27 03:52:03,75293,AR,75293AR0320001,75293AR0320001-01,Nutritional Counseling,No Charge after deductible,,No Charge after deductible,0% Coinsurance after deductible,,0% Coinsurance after deductible,Yes,Yes,Covered,,,,,,Diabetic/cleft palate nutritional counseling,Additional EHB Benefit,No,No,127,,
888436,888436,2016,WI,37833,HIOS,3,2015-08-26 09:56:12,37833,WI,37833WI0510035,37833WI0510035-03,Radiation,Not Applicable,,Not Applicable,0% Coinsurance after deductible,,100%,,,Covered,,,,,,,Additional EHB Benefit,No,Yes,122,,
3450502,481380,2015,MS,48963,HIOS,16,1/16/2015 17:32,48963,MS,48963MS0490013,48963MS0490013-01,Durable Medical Equipment,No Charge,,$0,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,No,,,,,Includes repair and maintenance,Additional EHB Benefit,No,No,95,Yes,Yes
1044041,1044041,2016,WI,94529,HIOS,6,2015-11-14 04:47:21,94529,WI,94529WI0220019,94529WI0220019-00,Rehabilitative Speech Therapy,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,100%,Yes,,Covered,Yes,20.0,Visit(s) per Year,,,"First $1,000 for Select Health Services are Paid by the Issuer",Above EHB,No,No,105,,
2408719,604466,2014,WI,47342,HIOS,11,2014-07-25 16:54:18,47342,WI,47342WI0050012,47342WI0050012-03,Reconstructive Surgery,No Charge after deductible,,$0,15% Coinsurance after deductible,,100%,,Yes,Covered,,,,,,,,No,No,128,Yes,No
1734762,1734762,2016,VA,15668,SERFF,7,2015-08-25 12:56:34,15668,VA,15668VA0130035,15668VA0130035-03,Preventive Care/Screening/Immunization,No Charge,,Not Applicable,No Charge,,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,98,,
3227500,258378,2015,AZ,70239,HIOS,7,6/19/2015 13:25,70239,AZ,70239AZ0010014,70239AZ0010014-00,Routine Eye Exam (Adult),$10 Copay after deductible,,$10 Copay after deductible,No Charge,,No Charge,Yes,,Covered,Yes,1.0,Visit(s) per Year,,,,,No,No,72,Yes,Yes
1782610,1782610,2016,VA,99663,SERFF,10,2015-08-27 03:52:03,99663,VA,99663VA0140035,99663VA0140035-01,Major Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,115,,
2070098,265845,2014,IN,85320,HIOS,7,2014-01-21 08:29:49,85320,IN,85320IN0010026,85320IN0010026-06,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
4476290,1507168,2015,DE,76168,SERFF,9,2/22/2015 21:18,76168,DE,76168DE0410012,76168DE0410012-02,Generic Drugs,$0,,$0,0%,,0%,Yes,,Covered,,,,,,,,No,No,88,No,No
3659592,690470,2015,PA,16322,HIOS,6,11/9/2014 4:38,16322,PA,16322PA0050028,16322PA0050028-05,"Inpatient Hospital Services (e.g., Hospital Stay)",$0 Copay per Day,,$0 Copay per Day,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,77,Yes,No
2383389,579136,2014,WI,37833,HIOS,6,2013-11-23 14:44:18,37833,WI,37833WI0370036,37833WI0370036-01,Abortion for Which Public Funding is Prohibited,,,,,,,,,Not Covered,,,,,,,,,,116,,
3011959,42837,2015,FL,27357,HIOS,7,2/13/2015 8:19,27357,FL,27357FL1820028,27357FL1820028-01,Abortion for Which Public Funding is Prohibited,,,,,,,,,Not Covered,,,,,,,,,,116,,
3176824,207702,2015,FL,56503,HIOS,7,11/15/2014 4:52,56503,FL,56503FL2080002,56503FL2080002-02,Osteoporosis,$0,,$0,0%,,100%,,Yes,Covered,,,,,,,Other Law/Regulation,No,No,135,Yes,Yes
4320937,1351815,2015,IA,18973,SERFF,8,11/13/2014 16:11,18973,IA,18973IA0220023,18973IA0220023-02,Rehabilitative Speech Therapy,$0,,$0,No Charge,,No Charge,Yes,,Covered,,,,,,,,No,No,105,Yes,No
1182235,1182235,2016,IA,27651,SERFF,3,2015-10-21 17:48:08,27651,IA,27651IA0050010,27651IA0050010-01,Routine Foot Care,,,,,,,,,,,,,,,,,,,99,,
845024,845024,2016,TX,66252,HIOS,7,2015-10-21 05:00:18,66252,TX,66252TX0050003,66252TX0050003-04,Rehabilitative Occupational and Rehabilitative Physical Therapy,$30 Copay before deductible,,Not Applicable,Not Applicable,,100%,Yes,,Covered,,,,,,,,No,No,106,,
3321360,352238,2015,AZ,98971,HIOS,7,12/10/2014 11:54,98971,AZ,98971AZ0010065,98971AZ0010065-00,Specialty Drugs,$250,,$250,No Charge,,No Charge,Yes,,Covered,Yes,31.0,Days per Month,,,Tier 4:  Quantity Level Limits may apply.  Mail Order up to a 90 day supply,Substantially Equal,No,No,91,No,No
2717923,913670,2014,MI,29698,SERFF,9,2014-03-18 09:48:59,29698,MI,29698MI0560001,29698MI0560001-01,Primary Care Visit to Treat an Injury or Illness,$10 Copay before deductible,,$0,No Charge,,30% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,61,No,No
2084349,280096,2014,LA,19636,HIOS,8,2014-01-21 08:29:49,19636,LA,19636LA0220004,19636LA0220004-03,Generic Drugs,$7,,$7,No Charge,,No Charge,Yes,,Covered,No,,,,"Exclusions are: Prescription Drugs that We determine are not Medically Necessary for the treatment of illness or injury. The following are also excluded unless shown as covered in the Schedule of Benefits: a. lifestyle-enhancing drugs including but not limited to medications used for cosmetic purposes (e.g., Botox®, Renova®, Tri-Luma®), hair loss or restoration (e.g., Propecia®, Rogaine®), effects of aging on the skin, medications for weight loss (e.g., Xenical®), or medications used to enhance athletic performance; b. any medication not proven effective in general medical practice; c. Investigational drugs and drugs used other than for the FDA approved indication, except drugs that are not FDA approved for a particular indication but that are recognized for treatment of the covered indication in a standard reference compendia or as shown in the results of controlled clinical studies published in at least two peer reviewed national professional medical journals and all Medically Necessary services associated with the administration of the drug; d. fertility drugs; e. minerals and vitamins, except for vitamins requiring a prescription for dispensation; f. nutritional or dietary supplements, or herbal supplements and treatments; g. drugs that can be lawfully obtained without a Physician’s order, including over-the-counter (“OTC”) drugs, or Prescription Drugs for which there is an OTC equivalent available; h. contraceptive drugs; i. drugs for non-covered orthodontic care, dental implants, and periodontal disease (e.g., Periostat®); j. Prescription Drugs, equipment or substances to treat sexual or erectile dysfunction (e.g., Viagra®, Cialis®, Levitra®); k. Prescription Drugs for and/or treatment of idiopathic short stature;","For 4-tier pharmacy, out of network charges are copay plus amount above allowable; For coinsurance pharmacy tier, out of network charges are deductible and coinsurance plus amount above allowable In addition, quantity per dispensing (QPD) limits/allowances are placed on certain medications and are based on the manufacturer's recommended dosage and duration of therapy, common usage for episodic or intermittent treatment, FDA-approved recommendations and/or clinical studies, and/or as determined by Blue Cross and Blue Shield of Louisiana. Preventive drugs per the ACA are covered at $0 and are not subject to deductible.",Substantially Equal,No,No,88,No,No
3033967,64845,2015,FL,27357,HIOS,7,2/13/2015 8:19,27357,FL,27357FL1850020,27357FL1850020-00,Bone Marrow Transplant,$875,,No Charge,No Charge,,50% Coinsurance after deductible,,Yes,Covered,No,,,,,,Additional EHB Benefit,No,No,133,No,No
171045,171045,2016,FL,56503,HIOS,7,2015-10-20 04:38:50,56503,FL,56503FL2580001,56503FL2580001-04,Chemotherapy,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,,Covered,,,,,,"Co-insurance represents the Member's cost for oral, injectable and infused chemotherapy agents administered in a Practitioner's office or other outpatient setting.  Additional specialty office copay/coinsurance will apply as applicable.",Substantially Equal,No,No,121,,
2795622,991369,2014,OH,28162,SERFF,3,2013-08-30 11:49:14,28162,OH,28162OH0060015,28162OH0060015-02,Mental/Behavioral Health Inpatient Services,$0,,$0,0%,,0%,Yes,Yes,Covered,No,,,,,,Other Law/Regulation,No,No,85,Yes,Yes
517913,517913,2016,PA,22444,HIOS,7,2015-10-23 02:29:38,22444,PA,22444PA0040069,22444PA0040069-01,Substance Abuse Disorder Outpatient Services,Not Applicable,,Not Applicable,0% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,No,,,,,See Plan for Details,Substantially Equal,No,No,86,,
1112643,1112643,2016,TX,33602,OPM,6,2015-11-21 06:31:07,33602,TX,33602TX0780038,33602TX0780038-02,Hearing Aids,$0,$0,$0,0%,0%,0%,Yes,,Covered,Yes,2.0,Item(s) per 3 Years,,,,Substantially Equal,No,No,96,,
1627629,1627629,2016,OH,77552,SERFF,11,2015-10-21 17:48:08,77552,OH,77552OH0020111,77552OH0020111-01,Nutritional Counseling,$0,,Not Applicable,Not Applicable,,100%,Yes,,Covered,,,,,,,,No,No,127,,
3770310,801188,2015,PA,53789,HIOS,12,6/19/2015 13:25,53789,PA,53789PA0110009,53789PA0110009-02,Allergy Testing,$0,$0,$0,$0,$0,0%,,,Covered,,,,,,,Additional EHB Benefit,No,No,120,Yes,Yes
4724778,1755656,2015,MI,86217,SERFF,4,11/17/2014 10:57,86217,MI,86217MI0010006,86217MI0010006-01,Major Dental Care - Child,$8,,$8,50% Coinsurance after deductible,,100%,,,Covered,Yes,1.0,Procedure(s) per Year,,See full schedule of benefits at www.goldendentalplans.com,"This benefit is EHB. Most procedures covered 1 per year. Tier 2 (Restorative) covered at 75%, Tiers 3 and 4 (Prosthetic and Specialty Care) covered at 50%. See full schedule of benefits at www.goldendentalplans.com",Above EHB,No,No,112,Yes,Yes
1096311,1096311,2016,PA,53789,OPM,5,2015-08-27 03:52:03,53789,PA,53789PA0040002,53789PA0040002-01,Durable Medical Equipment,Not Applicable,Not Applicable,Not Applicable,50%,50%,100%,Yes,Yes,Covered,No,,,,,,Above EHB,No,No,95,,
4358912,1389790,2015,IL,36096,SERFF,10,2/22/2015 21:18,36096,IL,36096IL0760005,36096IL0760005-03,Chiropractic Care,No Charge,,No Charge,20% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,Yes,25.0,Visit(s) per Year,,,,Substantially Equal,No,No,94,Yes,Yes
453690,453690,2016,NJ,91762,HIOS,8,2015-11-18 07:25:09,91762,NJ,91762NJ0080069,91762NJ0080069-00,Treatment for Temporomandibular Joint Disorders,$50,,Not Applicable,Not Applicable,,100%,Yes,,Covered,,,,,"Services or supplies for orthodontia, crowns or bridgework.",,,No,No,126,,
